Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
United Kingdom;GBR;Share of youth not in education, employment or training, male (% of male youth population);SL.UEM.NEET.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.2100000381;7.3000001907;7.4899997711;10.1099996567;10.1099996567;11.9300003052;12.1199998856;13.1400003433;12.8199996948;12.1499996185;10.6800003052;9.75;10.3199996948;
United Kingdom;GBR;Share of youth not in education, employment or training, female (% of female youth population);SL.UEM.NEET.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.7100000381;9.5500001907;9.6199998856;13.6999998093;14.0799999237;14.529999733;15.1400003433;15.3599996567;14.9499998093;14.3500003815;13.0799999237;12.4099998474;11.5100002289;
United Kingdom;GBR;Unemployment with intermediate education (% of total labor force with intermediate education);SL.UEM.INTM.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.4000000954;7.5;7;7;6.4000000954;6.0999999046;5.1900000572;4.6900000572;4.7600002289;3.7100000381;4.0799999237;3.9300000668;4.2199997902;4.3400001526;5.1300001144;5.2300000191;5.1799998283;6.7300000191;7.5900001526;8.1000003815;8.2899999619;8.0399999619;6.7899999619;6.0399999619;5.3299999237;
United Kingdom;GBR;Unemployment with intermediate education, male (% of male labor force with intermediate education);SL.UEM.INTM.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.3000001907;10;9;8.3999996185;7.5999999046;6.8000001907;5.6300001144;5.3200001717;4.9800000191;4.0500001907;4.25;4.2899999619;4.2300000191;4.4299998283;5.1399998665;5.0700001717;5.4800000191;7.7399997711;8.1800003052;8.529999733;8.5699996948;8.2399997711;6.8499999046;5.9699997902;5.3499999046;
United Kingdom;GBR;Unemployment with intermediate education, female (% of female labor force with intermediate education);SL.UEM.INTM.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.5;11.3999996185;10.3000001907;9.3999996185;8.3000001907;7.3000001907;5.9600000381;5.7399997711;5.1199998856;4.2800002098;4.3600001335;4.5500001907;4.2300000191;4.4899997711;5.1500000954;4.9499998093;5.6999998093;8.529999733;8.6400003433;8.8800001144;8.7899999619;8.3999996185;6.8899998665;5.9099998474;5.3499999046;
United Kingdom;GBR;Unemployment with basic education (% of total labor force with basic education);SL.UEM.BASC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.6000003815;8.8999996185;9;8.1999998093;7.5999999046;6.9000000954;25.3400001526;7.1900000572;6.7399997711;6;6.2699999809;5.7699999809;6.1799998283;6.2399997711;7.2800002098;7.7600002289;8.529999733;10.8400001526;11.6800003052;12.25;12.4099998474;13.1199998856;10.4600000381;9.0200004578;7.6199998856;
United Kingdom;GBR;Unemployment with basic education, male (% of male labor force with basic education);SL.UEM.BASC.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.1000003815;12.8000001907;12.3999996185;11;10.6999998093;9.3000001907;35.2599983215;9.3299999237;8.7399997711;7.6599998474;8.029999733;7.4299998283;7.4899997711;7.7100000381;8.8400001526;9.1400003433;9.970000267;12.7899999619;13.6599998474;13.9300003052;13.7399997711;13.6800003052;11.1199998856;9.4600000381;8.1700000763;
United Kingdom;GBR;Unemployment with basic education, female (% of female labor force with basic education);SL.UEM.BASC.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.1999998093;16.2999992371;15.6000003815;13.6000003815;13.5;11.5;46.3199996948;11.8100004196;11.029999733;9.5;9.970000267;9.1999998093;8.8699998856;9.1700000763;10.3400001526;10.3999996185;11.2299995422;14.4899997711;15.3599996567;15.3299999237;14.8000001907;14.1300001144;11.6499996185;9.8000001907;8.5799999237;
United Kingdom;GBR;Unemployment with advanced education (% of total labor force with advanced education);SL.UEM.ADVN.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.5999999046;3.7999999523;3.7000000477;3.7000000477;3.2000000477;3;3.4600000381;2.4900000095;2.1900000572;2;2.1099998951;1.9600000381;2.0099999905;2.2999999523;2.6099998951;2.3699998856;2.7100000381;3.4200000763;3.6500000954;4.1500000954;4.2600002289;3.6700000763;3.1800000668;2.9400000572;3.0899999142;
United Kingdom;GBR;Unemployment with advanced education, male (% of male labor force with advanced education);SL.UEM.ADVN.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.3000001907;4.9000000954;4.5999999046;4.4000000954;4.1999998093;3.4000000954;3.9900000095;2.9300000668;2.4500000477;2.2100000381;2.6099998951;2.5099999905;2.3499999046;2.5599999428;2.7400000095;2.5299999714;2.7999999523;3.9600000381;4.0599999428;4.3099999428;4.2899999619;3.9300000668;3.1700000763;2.9400000572;2.9300000668;
United Kingdom;GBR;Unemployment with advanced education, female (% of female labor force with advanced education);SL.UEM.ADVN.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.8000001907;5.5999999046;5.1999998093;4.9000000954;5;3.7000000477;4.3800001144;3.2899999619;2.6700000763;2.3900001049;3.0699999332;3;2.6600000858;2.7899999619;2.8499999046;2.6800000668;2.8900001049;4.4899997711;4.4499998093;4.4600000381;4.3099999428;4.1900000572;3.1600000858;2.9500000477;2.7699999809;
United Kingdom;GBR;Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate);SL.UEM.1524.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8800001144;15.6800003052;17.4799995422;16.3600006104;15.5500001907;14.9399995804;13.6000003815;12.4600000381;12.4200000763;12.029999733;10.3299999237;10.9200000763;11.3599996567;10.720000267;12.7399997711;13.9300003052;14.279999733;15.0200004578;19.1200008392;19.8799991608;21.2900009155;21.2099990845;20.6800003052;16.9599990845;14.6300001144;12.9899997711;11.6920003891
United Kingdom;GBR;Unemployment, youth total (% of total labor force ages 15-24) (national estimate);SL.UEM.1524.NE.ZS;;;;;;;;;;;;;;;;;;;;;;;;20.2199993134;19.1000003815;18.25;18.5200004578;16.2099990845;13.2399997711;10.3400001526;10.4200000763;13.8800001144;15.6800003052;17.4799995422;16.3600006104;15.5500001907;14.9399995804;13.6000003815;12.4600000381;12.4200000763;12.029999733;10.3299999237;10.9200000763;11.3599996567;10.720000267;12.7399997711;13.9300003052;14.279999733;15.0200004578;19.1200008392;19.8799991608;21.2900009155;21.2099990845;20.6800003052;16.9599990845;14.6300001144;12.9899997711;
United Kingdom;GBR;Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate);SL.UEM.1524.MA.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.9479999542;19.0650005341;20.8939990997;19.357000351;18.0580005646;17.9839992523;15.6789999008;14.0270004272;14.2299995422;13.4630002975;11.7670001984;12.8079996109;13.0290002823;11.6099996567;14.2840003967;15.6370000839;15.8260002136;17.0020008087;21.8530006409;21.9330005646;23.75;23.8920001984;22.9899997711;18.9349994659;16.1819992065;14.7539997101;13.3020000458
United Kingdom;GBR;Unemployment, youth male (% of male labor force ages 15-24) (national estimate);SL.UEM.1524.MA.NE.ZS;;;;;;;;;;;;;;;;;;;;;;;;22.4200000763;20.8199996948;19.6000003815;19.75;17.2000007629;14.3500003815;11.2299995422;11.3999996185;15.9399995804;19.0300006866;20.8500003815;19.2999992371;18.0100002289;17.9200000763;15.6499996185;14;14.25;13.470000267;11.779999733;12.8199996948;13.0500001907;11.6300001144;14.3199996948;15.6700000763;15.8599996567;17.0400009155;21.8999996185;21.9599990845;23.7800006866;23.9099998474;23.0100002289;18.9500007629;16.1900005341;14.7600002289;
United Kingdom;GBR;Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate);SL.UEM.1524.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.4560003281;11.6809997559;13.4790000916;12.8380002975;12.6129999161;11.4200000763;11.2010002136;10.6610002518;10.3459997177;10.3940000534;8.6700000763;8.7620000839;9.4549999237;9.7130002975;10.9619998932;11.9940004349;12.5229997635;12.751999855;16.0849990845;17.579000473;18.5170001984;18.1959991455;18.1140003204;14.7779998779;12.9239997864;11.0850000381;9.9519996643
United Kingdom;GBR;Unemployment, youth female (% of female labor force ages 15-24) (national estimate);SL.UEM.1524.FE.NE.ZS;;;;;;;;;;;;;;;;;;;;;;;;17.5200004578;16.9599990845;16.6000003815;17.0300006866;15.0399999619;11.9099998474;9.3000001907;9.25;11.4499998093;11.6599998474;13.4499998093;12.8000001907;12.5799999237;11.3800001144;11.1800003052;10.6400003433;10.3599996567;10.3999996185;8.6800003052;8.7700004578;9.470000267;9.7299995422;10.9899997711;12.0200004578;12.5500001907;12.779999733;16.1200008392;17.6000003815;18.5400009155;18.2099990845;18.1299991608;14.7899999619;12.9300003052;11.0900001526;
United Kingdom;GBR;Labor force, total;SL.TLF.TOTL.IN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29039664;28910691;28744592;28508005;28449535;28418872;28517679;28692663;28761240;29050150;29295681;29259367;29588702;29868748;30142943;30589897;31037309;31240900;31647690;31825552;32010415;32192066;32543044;32852108;33143711;33408045;33693492;33870286
United Kingdom;GBR;Labor force, female (% of total labor force);SL.TLF.TOTL.FE.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.1923799118;43.3208497161;43.644112256;44.0674294816;44.1971512012;44.2900196743;44.5811210653;44.803157518;44.9164570095;45.0991440664;45.2108213494;45.3462475795;45.584513981;45.403171904;45.6458083738;45.6757307813;45.7252495698;45.643454574;45.6774854658;45.9460781701;46.0186942281;46.1037604732;46.1086953021;46.2632717511;46.4004709672;46.4469920344;46.5152766;46.5278356374
