dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,school_name
01M292,29,355,404,363,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES
01M448,91,383,423,366,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL
01M450,70,377,402,370,EAST SIDE COMMUNITY SCHOOL
01M458,7,414,401,359,FORSYTH SATELLITE ACADEMY
01M509,44,390,433,384,MARTA VALLE HIGH SCHOOL
01M515,112,332,557,316,LOWER EAST SIDE PREPARATORY HIGH SCHOOL
01M539,159,522,574,525,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
01M650,18,417,418,411,CASCADES HIGH SCHOOL
01M696,130,624,604,628,BARD HIGH SCHOOL EARLY COLLEGE
02M047,16,395,400,387,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL
02M288,62,409,393,392,FOOD AND FINANCE HIGH SCHOOL
02M294,53,394,384,378,ESSEX STREET ACADEMY
02M296,58,374,375,362,HIGH SCHOOL OF HOSPITALITY MANAGEMENT
02M298,85,423,438,432,PACE HIGH SCHOOL
02M300,48,404,449,416,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE"
02M303,76,353,358,340,"FACING HISTORY SCHOOL, THE"
02M305,50,375,388,385,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE"
02M308,40,403,392,405,LOWER MANHATTAN ARTS ACADEMY
02M313,69,408,390,390,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING"
02M316,42,373,370,384,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE"
02M374,60,391,391,394,GRAMERCY ARTS HIGH SCHOOL
02M376,92,473,483,479,NYC ISCHOOL
02M392,s,s,s,s,MANHATTAN BUSINESS ACADEMY
02M393,s,s,s,s,BUSINESS OF SPORTS SCHOOL
02M394,79,319,512,357,EMMA LAZARUS HIGH SCHOOL
02M399,s,s,s,s,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY
02M400,263,465,493,461,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES
02M407,54,492,465,467,INSTITUTE FOR COLLABORATIVE EDUCATION
02M408,94,509,490,523,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL
02M411,104,496,563,518,BARUCH COLLEGE CAMPUS HIGH SCHOOL
02M412,114,537,590,550,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES
02M413,66,517,533,515,SCHOOL OF THE FUTURE HIGH SCHOOL
02M414,103,468,492,459,N.Y.C. MUSEUM SCHOOL
02M416,127,572,594,592,ELEANOR ROOSEVELT HIGH SCHOOL
02M418,144,528,553,533,MILLENNIUM HIGH SCHOOL
02M419,62,390,399,381,LANDMARK HIGH SCHOOL
02M420,336,429,449,428,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES
02M425,84,416,426,391,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL
02M427,s,s,s,s,MANHATTAN ACADEMY FOR ARTS & LANGUAGE
02M429,29,356,357,349,LEGACY SCHOOL FOR INTEGRATED STUDIES
02M437,s,s,s,s,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES
02M438,s,s,s,s,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE
02M439,95,441,473,458,MANHATTAN VILLAGE ACADEMY
02M440,59,378,365,368,BAYARD RUSTIN EDUCATIONAL COMPLEX
02M449,72,395,416,388,VANGUARD HIGH SCHOOL
02M459,49,376,460,391,MANHATTAN INTERNATIONAL HIGH SCHOOL
02M460,151,373,387,360,WASHINGTON IRVING HIGH SCHOOL
02M473,s,s,s,s,WASHINGTON IRVING YABC
02M475,832,679,735,682,STUYVESANT HIGH SCHOOL
02M489,167,443,489,442,HIGH SCHOOL OF ECONOMICS AND FINANCE
02M500,25,370,349,351,UNITY CENTER FOR URBAN TECHNOLOGIES
02M519,81,469,472,475,TALENT UNLIMITED HIGH SCHOOL
02M520,264,407,440,393,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS
02M529,131,414,425,400,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL
02M531,42,429,404,420,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS
02M542,66,336,378,344,MANHATTAN BRIDGES HIGH SCHOOL
02M543,73,391,395,382,NEW DESIGN HIGH SCHOOL
02M544,14,389,371,335,INDEPENDENCE HIGH SCHOOL
02M545,78,412,581,431,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES
02M550,26,368,436,352,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS
02M551,77,405,423,384,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL
02M560,56,498,440,477,HIGH SCHOOL M560 s CITY AS SCHOOL
02M565,30,527,508,512,URBAN ACADEMY LABORATORY HIGH SCHOOL
02M570,33,350,337,345,SATELLITE ACADEMY HIGH SCHOOL
02M575,121,345,517,343,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL
02M580,84,408,384,403,RICHARD R. GREEN HIGH SCHOOL OF TEACHING
02M586,9,458,416,429,HARVEY MILK HIGH SCHOOL
02M600,335,423,423,411,THE HIGH SCHOOL OF FASHION INDUSTRIES
02M605,36,426,403,426,HUMANITIES PREPARATORY ACADEMY
02M615,83,399,418,390,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
02M620,154,370,379,359,NORMAN THOMAS HIGH SCHOOL
02M625,191,395,382,376,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS
02M630,270,444,441,430,ART AND DESIGN HIGH SCHOOL
02M655,61,409,424,403,LIFE SCIENCES SECONDARY SCHOOL
03M283,27,406,379,408,MANHATTAN THEATRE LAB HIGH SCHOOL
03M299,49,374,384,374,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY"
03M307,41,384,390,370,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE"
03M402,s,s,s,s,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS
03M403,s,s,s,s,THE GLOBAL LEARNING COLLABORATIVE
03M404,12,416,403,381,INNOVATION DIPLOMA PLUS
03M415,32,371,368,370,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS
03M417,s,s,s,s,FRANK MCCOURT HIGH SCHOOL
03M470,131,370,390,358,LOUIS D. BRANDEIS HIGH SCHOOL
03M479,261,577,575,592,BEACON HIGH SCHOOL
03M485,531,566,564,577,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS
03M492,66,396,398,402,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE"
03M494,75,433,433,411,HIGH SCHOOL OF ARTS AND TECHNOLOGY
03M505,35,401,369,351,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL
03M541,111,473,506,467,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL
03M577,s,s,s,s,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS
03M860,43,356,379,361,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL
04M409,48,354,357,373,COALITION SCHOOL FOR SOCIAL CHANGE
04M435,375,461,514,455,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS
04M495,51,373,379,376,PARK EAST HIGH SCHOOL
04M555,73,405,421,395,CENTRAL PARK EAST HIGH SCHOOL
04M610,70,432,446,448,YOUNG WOMEN'S LEADERSHIP SCHOOL
04M635,48,369,369,357,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL
04M680,31,358,351,345,"HERITAGE SCHOOL, THE"
05M285,29,357,318,333,HARLEM RENAISSANCE HIGH SCHOOL
05M304,54,413,399,398,MOTT HALL HIGH SCHOOL
05M362,s,s,s,s,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING"
05M367,33,354,366,342,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL
05M369,56,360,353,364,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS
05M469,20,354,360,385,CHOIR ACADEMY OF HARLEM
05M499,214,458,474,442,FREDERICK DOUGLASS ACADEMY
05M670,66,396,402,404,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE
05M685,61,369,361,355,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL
05M692,101,605,654,588,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE"
06M293,60,408,446,416,CITY COLLEGE ACADEMY OF THE ARTS
06M346,55,362,376,367,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS
06M348,70,380,395,399,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL
06M423,s,s,s,s,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION
06M457,7,394,357,346,GEORGE WASHINGTON YABC
06M462,76,365,384,378,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE
06M463,63,369,380,349,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS
06M467,94,363,378,361,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE
06M468,24,400,422,402,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES
06M540,228,430,456,423,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL
06M552,56,339,349,326,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS
07X221,65,364,378,348,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL
07X321,9,379,364,382,CROTONA ACADEMY HIGH SCHOOL
07X334,34,310,324,311,INTERNATIONAL COMMUNITY HIGH SCHOOL
07X379,s,s,s,s,JILL CHAIFETZ TRANSFER HIGH SCHOOL
07X381,s,s,s,s,BRONX HAVEN HIGH SCHOOL
07X427,43,361,359,357,COMMUNITY SCHOOL FOR SOCIAL JUSTICE
07X473,63,351,375,371,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL
07X495,79,403,394,404,UNIVERSITY HEIGHTS SECONDARY SCHOOL
07X500,66,420,426,411,HOSTOSsLINCOLN ACADEMY OF SCIENCE
07X520,64,399,396,391,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES
07X527,62,362,378,363,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL
07X547,28,367,356,361,NEW EXPLORERS HIGH SCHOOL
07X548,44,387,411,383,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS
07X551,51,413,381,407,BRONX ACADEMY OF LETTERS
07X600,76,394,400,364,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
07X655,47,398,416,370,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
07X670,114,363,368,364,HEALTH OPPORTUNITIES HIGH SCHOOL
08X269,s,s,s,s,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS
08X282,44,407,386,378,WOMEN'S ACADEMY OF EXCELLENCE
08X293,52,384,385,389,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY
08X295,41,416,390,394,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY
08X305,67,337,361,340,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES
08X312,67,387,402,375,MILLENNIUM ART ACADEMY
08X332,39,363,371,350,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH
08X367,s,s,s,s,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS"
08X376,s,s,s,s,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL"
08X377,9,367,369,376,BRONX COMMUNITY HIGH SCHOOL
08X405,415,412,436,393,HERBERT H. LEHMAN HIGH SCHOOL
08X408,6,402,373,413,HERBERT H. LEHMAN YABC
08X432,s,s,s,s,BRONX BRIDGES HIGH SCHOOL
08X452,39,369,371,365,BRONX GUILD
08X507,s,s,s,s,STEVENSON YABC
08X519,68,373,370,356,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE"
08X530,54,373,381,377,BANANA KELLY HIGH SCHOOL
08X537,s,s,s,s,BRONX ARENA HIGH SCHOOL
08X540,16,366,400,368,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING
08X560,9,404,368,399,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL
08X650,78,377,359,376,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS
09X227,39,324,376,349,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL
09X231,78,373,387,374,EAGLE ACADEMY FOR YOUNG MEN
09X239,33,372,355,357,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE"
09X241,80,411,464,415,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE"
09X250,50,393,394,382,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL
09X252,67,369,367,356,MOTT HALL BRONX HIGH SCHOOL
09X260,81,459,480,457,BRONX CENTER FOR SCIENCE AND MATHEMATICS
09X263,74,356,363,356,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL
09X276,30,361,353,367,LEADERSHIP INSTITUTE
09X297,38,386,386,376,MORRIS ACADEMY FOR COLLABORATIVE STUDIES
09X324,s,s,s,s,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING
09X329,51,382,365,391,DREAMYARD PREPARATORY SCHOOL
09X365,54,315,339,297,ACADEMY FOR LANGUAGE AND TECHNOLOGY
09X403,49,314,312,339,BRONX INTERNATIONAL HIGH SCHOOL
09X404,32,363,360,351,SCHOOL FOR EXCELLENCE
09X412,34,356,376,351,BRONX HIGH SCHOOL OF BUSINESS
09X413,64,400,419,402,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE
09X414,35,379,364,379,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS
09X505,80,404,418,402,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE"
