aawdt,count_location,input_study_id,objectid,segkey,stname,year
9800,"RENTON AVE S, N/O S CLOVERDALE ST",315994,1,12522,RENTON AVE S,2014
12300,"AIRPORT WAY S, N/O S NORFOLK ST",316688,2,8702,AIRPORT WAY S,2014
7800,"N 65TH ST, W/O LINDEN AVE N",314379,3,15794,N 65TH ST,2014
11900,"2ND AVE, NW/O LENORA ST",313796,4,2762,2ND AVE,2014
40900,"LAKE CITY WAY NE, S/O NE 145TH ST",316269,5,11190,LAKE CITY WAY NE,2014
21100,"JAMES ST, NE/O 7TH AVE",316562,6,11055,JAMES ST,2014
21800,"GREENWOOD AVE N, S/O N 145TH ST",315172,7,10795,GREENWOOD AVE N,2014
7200,"RENTON AVE S, SE/O S HENDERSON ST",315996,8,12525,RENTON AVE S,2014
14100,"4TH AVE, NW/O LENORA ST",315087,9,6138,4TH AVE,2014
11900,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",315106,10,9992,DELRIDGE WAY SW,2014
21000,"1ST AVE S, S/O S LUCILE ST",315986,11,1221,1ST AVE S,2014
21900,"N 130TH ST, W/O ASHWORTH AVE N",316582,12,15163,N 130TH ST,2014
4800,"34TH AVE W, N/O W BARRETT ST",314216,13,5324,34TH AVE W,2014
9100,"NE 55TH ST, E/O 35TH AVE NE",315207,14,17051,NE 55TH ST,2014
8900,"3RD AVE NW, S/O NW 80TH ST",314623,15,4471,3RD AVE NW,2014
6200,"30TH AVE NE, S/O NE 145TH ST",316252,16,4641,30TH AVE NE,2014
21600,"RAINIER AVE S, NW/O S HOLLY ST",316498,17,12402,RAINIER AVE S,2014
34900,"AURORA AVE N, S/O N 145TH ST",316698,18,9001,AURORA AVE N,2014
11600,"25TH AVE NE, S/O NE 75TH ST",315071,19,3731,25TH AVE NE,2014
14400,"E PINE ST, W/O BROADWAY",316384,20,14633,E PINE ST,2014
7000,"3RD AVE, NW/O LENORA ST",316691,21,4388,3RD AVE,2014
22500,"NE 75TH ST, W/O ROOSEVELT WAY NE",315216,22,17506,NE 75TH ST,2014
12900,"35TH AVE NE, N/O NE 75TH ST",315073,23,5363,35TH AVE NE,2014
20100,"25TH AVE NE, S/O NE 47TH ST",315069,24,3720,25TH AVE NE,2014
13600,"5TH AVE, NW/O LENORA ST",316683,25,7244,5TH AVE,2014
14700,"6TH AVE, SE/O PIKE ST",316685,26,7882,6TH AVE,2014
13700,"12TH AVE, N/O E YESLER WAY",316563,27,1523,12TH AVE,2014
17400,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",315164,28,10387,FAUNTLEROY WAY SW,2014
15100,"STONE WAY N, S/O N 45TH ST",316571,29,12968,STONE WAY N,2014
12400,"E PIKE ST, W/O BROADWAY",316186,30,14599,E PIKE ST,2014
14700,"NW 85TH ST, W/O 16TH AVE NW",315976,31,18971,NW 85TH ST,2014
7800,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",313369,32,12786,SENECA ST OFF RP,2014
5700,"MYERS WAY S, S/O OLSON PL SW",315182,33,11941,MYERS WAY S,2014
6500,"CORSON AVE S, S/O S MICHIGAN ST",316592,34,9833,CORSON AVE S,2014
8500,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",315328,35,13507,WESTERN AVE,2014
8400,"PINEHURST WAY NE, NE/O NE 115TH ST",316396,36,12231,PINEHURST WAY NE,2014
27800,"GREENWOOD AVE N, N/O N 107TH ST",315168,37,10775,GREENWOOD AVE N,2014
15600,"15TH AVE NE, S/O NE 145TH ST",315061,38,2096,15TH AVE NE,2014
21300,"35TH AVE SW, S/O SW MORGAN ST",316642,39,5462,35TH AVE SW,2014
23000,"SW ROXBURY ST, E/O 26TH AVE SW",316644,40,22771,SW ROXBURY ST,2014
7700,"SW MORGAN ST, W/O 35TH AVE SW",314749,41,22592,SW MORGAN ST,2014
13200,"SW AVALON WAY, N/O 30TH AVE SW",316413,42,21818,SW AVALON WAY,2014
10600,"E ALOHA ST, E/O 10TH AVE E",314428,43,13812,E ALOHA ST,2014
27600,"CORSON AVE S, N/O S MICHIGAN ST",315102,44,9832,CORSON AVE S,2014
4700,"32ND AVE NW, S/O NW 80TH ST",316681,45,5001,32ND AVE NW,2014
13900,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",316265,46,9548,CALIFORNIA AVE SW,2014
15100,"M L KING JR WAY, N/O E YESLER WAY",315942,47,11481,M L KING JR WAY,2014
