area_name,status,state,1990,2000,2010,2017
Aberdeen,Micropolitan Statistical Area,SD,39936,39835,40602,43097
Aberdeen,Micropolitan Statistical Area,WA,64175,67141,72804,72697
Abilene,Metropolitan Statistical Area,TX,148004,160273,165248,170219
Ada,Micropolitan Statistical Area,OK,34119,35146,37492,38224
Adjuntas,Micropolitan Statistical Area,PR,19451,19143,19483,17971
Adrian,Micropolitan Statistical Area,MI,91476,98970,99892,98623
Aguadilla - Isabela,Metropolitan Statistical Area,PR,307560,347938,339465,302615
Akron,Metropolitan Statistical Area,OH,657575,694975,703203,703505
Alamogordo,Micropolitan Statistical Area,NM,51928,62195,63817,65817
Albany,Metropolitan Statistical Area,GA,146583,157872,157500,151434
Albany,Metropolitan Statistical Area,OR,91227,103079,116672,125047
Albany - Schenectady - Troy,Metropolitan Statistical Area,NY,809642,825920,870720,886188
Albemarle,Micropolitan Statistical Area,NC,51765,58092,60586,61482
Albert Lea,Micropolitan Statistical Area,MN,33060,32584,31255,30535
Albertville,Micropolitan Statistical Area,AL,70832,82303,93019,95548
Albuquerque,Metropolitan Statistical Area,NM,599416,729729,887061,910726
Alexander City,Micropolitan Statistical Area,AL,38826,41771,41618,40681
Alexandria,Metropolitan Statistical Area,LA,149082,145087,153922,153984
Alexandria,Micropolitan Statistical Area,MN,28674,32808,36009,37575
Alice,Micropolitan Statistical Area,TX,37679,39344,40838,40871
Allentown - Bethlehem - Easton,Metropolitan Statistical Area,PA-NJ,686718,740340,821272,840550
Alma,Micropolitan Statistical Area,MI,38982,42289,42476,41018
Alpena,Micropolitan Statistical Area,MI,30605,31297,29598,28462
Altoona,Metropolitan Statistical Area,PA,130542,129105,127076,123457
Altus,Micropolitan Statistical Area,OK,28764,28439,26446,25125
Amarillo,Metropolitan Statistical Area,TX,198389,228670,251933,264925
Americus,Micropolitan Statistical Area,GA,33822,36988,37827,35060
Ames,Metropolitan Statistical Area,IA,74252,79988,89542,97502
Amsterdam,Micropolitan Statistical Area,NY,51981,49637,50256,49258
Anchorage,Metropolitan Statistical Area,AK,266021,319617,380821,400888
Andrews,Micropolitan Statistical Area,TX,14338,13002,14786,17722
Angola,Micropolitan Statistical Area,IN,27446,33233,34183,34484
Ann Arbor,Metropolitan Statistical Area,MI,282937,322818,345066,367627
Anniston - Oxford - Jacksonville,Metropolitan Statistical Area,AL,116032,111882,118586,114728
Appleton,Metropolitan Statistical Area,WI,174801,201773,225666,236126
Arcadia,Micropolitan Statistical Area,FL,23865,32204,34862,36862
Ardmore,Micropolitan Statistical Area,OK,42919,45614,47726,48190
Arecibo,Metropolitan Statistical Area,PR,176430,199750,199471,181643
Arkadelphia,Micropolitan Statistical Area,AR,21437,23541,22993,22293
Arkansas City - Winfield,Micropolitan Statistical Area,KS,36915,36307,36306,35361
Asheville,Metropolitan Statistical Area,NC,308005,369186,424856,456145
Ashland,Micropolitan Statistical Area,OH,47507,52516,53139,53628
Ashtabula,Micropolitan Statistical Area,OH,99880,102681,101488,97807
Astoria,Micropolitan Statistical Area,OR,33301,35634,37029,39182
Atchison,Micropolitan Statistical Area,KS,16932,16787,16921,16332
Athens,Micropolitan Statistical Area,OH,59549,62193,64764,66597
Athens,Micropolitan Statistical Area,TN,42383,49011,52278,52877
Athens,Micropolitan Statistical Area,TX,58543,73105,78534,81064
Athens - Clarke County,Metropolitan Statistical Area,GA,136025,166028,192564,209271
Atlanta - Sandy Springs - Roswell,Metropolitan Statistical Area,GA,3081858,4263135,5286743,5884736
Atlantic City - Hammonton,Metropolitan Statistical Area,NJ,224327,253210,274540,269918
Atmore,Micropolitan Statistical Area,AL,35518,38452,38319,37447
Auburn,Micropolitan Statistical Area,IN,35324,40303,42219,42836
